Ship,Flag,Sunk date,Notes,Coordinates
USS WST-1,United States Navy,27-Jul-45,"Naval salvage tug, ran aground on rocks off Susan Gilmore Beach, Newcastle in heavy fog.",
HMAS Yarra,Royal Australian Navy,30-Sep-29,A River-class torpedo-boat destroyer that was sunk as a target.,
HMS Sirius,Royal Navy,19 March 1790,"First Fleet ship that sank on the reef in Slaughter Bay, Norfolk Island, while landing stores",
HMAS Arrow,Royal Australian Navy,25-Dec-74,An Attack-class patrol boat that was driven ashore by Cyclone Tracy.,
Booya,Australia,24-Dec-74,A schooner that was sunk by Cyclone Tracy.,12°23.381′S 130°46.281′E
Brisbane,Queensland,10 October 1881,Iron steamship that ran aground on Fish Reef off Quail Island north of Port Darwin,12°26′00″S 130°26′18″E
British Motorist,United Kingdom,19-Feb-42,A tanker that was sunk in the bombing of Darwin.,12°28.96′S 130°50.33′E
Darwin Princess,Unknown,Dec-74,A passenger ferry that was sunk by Cyclone Tracy.,
Don Isidro,United States Army,19-Feb-42,"A transport ship that was bombed by Japanese planes returning from the attack on Darwin. The captain attempted to beach the ship on Bathurst Island, but the engines failed three miles offshore.",11°42.3′S 130°02′E
Ellengowan,United Kingdom,27 April 1888,A schooner that sank at its mooring and was abandoned.,12°32′28″S 130°52′08″E
HMAS Hankow,Royal Australian Navy,18-Sep-32,A coal hulk that was sunk as a target off Darwin.,
I-124,Imperial Japanese Navy,21-Jan-42,An I-121-class submarine that was sunk during World War II.,12°07′12.33″S 130°06′23.62″E
Kelat,Royal Australian Navy,19-Feb-42,A sailing ship that was sunk in the bombing of Darwin.,12°02′00″S 130°05′00″E
HMAS Maroubra,Royal Australian Navy,10-May-43,A cutter that was sunk by Japanese aircraft off Milingimbi Island.,
Mauna Loa,United States Navy,19-Feb-42,A cargo ship that was lost in the Japanese bombing of Darwin.,12°29.86′S 130°49.16′E
HMAS Mavie,Royal Australian Navy,19-Feb-42,An auxiliary ship that was lost in the Japanese bombing of Darwin.,
USAT Meigs,United States Army,19-Feb-42,A transport ship that was lost in the Japanese bombing of Darwin.,12°29.26′S 130°49.10′E
Neptuna,Hong Kong,19-Feb-42,A cargo ship that was lost in the Japanese bombing of Darwin.,12°28′18″S 130°50′57″E
HMAS Patricia Cam,Royal Australian Navy,22-Jan-43,A minesweeper that was sunk by Japanese aircraft near the Wessel Islands.,
USS Peary,United States Navy,19-Feb-42,A Clemson-class destroyer that was lost in the Japanese bombing of Darwin.,12°28′30″S 130°49′45″E
Zealandia,Australia,19-Feb-42,A cargo ship that was lost in the Japanese bombing of Darwin.,12°29.00′S 130°51.05′E
Aarhus,Unknown,24 February 1894,"A German made barque that ran aground near Cape Moreton, and is now a historical site.",27°00′14.31″S 153°26′27.92″E
Bee,Australia,17-Mar-01,A ferry that ran aground at Picnic Bay.,
HMAS Carroo,Royal Australian Navy,19-Sep-76,A lighter that was scuttled at Hervey Bay.,
Cato,United Kingdom,17 August 1803,"A full-rigged ship that ran aground on the Wreck Reefs, along with HMS Porpoise.",
AHS Centaur,Royal Australian Navy,14-May-43,"A hospital ship that was torpedoed by Japanese submarine I-177, killing 268 medical staff and crew.",27°16.98′S 153°59.22′E
Cherry Venture,Singapore,6-Jul-73,A cargo ship that ran aground on Teewah Beach.,25°57′42.00″S 153°10′26.14″E
City of Adelaide,Australia,1916,"A steamship that ran aground off Cockle Bay, Magnetic Island, and used as target practice for the Royal Australian Air Force during World War II. The wreck was sunk by Cyclone Althea in 1971.",19°10′29″N 146°49′32″E
Dicky,Unknown,4 February 1893,A steamship that ran aground at Dicky Beach. The visible remains of the wreck were removed in 2015.,
Duke of York,United Kingdom,September 1837,A barque that was wrecked off Moreton Bay.,27°02′11.84″S 153°21′13.64″E
Frederick,United Kingdom,May 1818,"Wrecked at Cape Flinders, Stanley Island.",
HMQS Gayunda,Royal Australian Navy,2-Jun-58,A flat-iron gunboat that was beached as a breakwater off Woody Point.,27°15′43″S 153°06′26″E
George Rennie,Australia,1902,"A paddle steamer that was scuttled in Picnic Bay, Magnetic Island.",
Gothenburg,Victoria,24 February 1875,A steamship that struck the Great Barrier Reef.,19°22′06″S 148°03′21″E
HMS Harrier,Royal Navy,July 1891,A schooner that was wrecked on the Great Barrier Reef near Cooktown.,
Jenny Lind,Unknown,21 September 1850,A barque that was wrecked on Kenn Reef on the Great Barrier Reef.[1],21°16′S 155°48′E
Lady Bowen,Unknown,1894,A schooner that ran aground on a reef.[2],
Maheno,New Zealand,9-Jul-35,An ocean liner that was beached on Fraser Island while under tow for scrapping in Japan.,25°16′2″S 153°14′18″E
Marloo,Australia,27-Sep-14,A steamship that was beached on Fraser Island.,24°56′56″S 153°18′13″E
HMS Mermaid,Royal Navy,13 June 1829,A cutter that was wrecked east of Normanby Island.,17°11′57″S 146°17′20″E
Moltke,Australia,1911,"A barque that was scuttled in Geoffrey Bay, Magnetic Island.",19°09′13″S 146°52′10″E
HMS Pandora,Royal Navy,28 August 1791,A Porcupine-class post ship that struck and was wrecked on the Great Barrier Reef.,11°23′S 143°59′E
HMS Porpoise,Royal Navy,17 August 1803,"A sloop that ran aground on the Wreck Reefs, along with Cato.",
RMS Quetta,United Kingdom,28 February 1890,A merchant ship that struck a rock off Albany Island.,10°36′34.61″S 142°37′27.01″E
Scottish Prince,Unknown,2 February 1887,"A barque carrying passengers and cargo from Glasgow was wrecked at the southern tip of Stradbroke Island. The passengers and crew were rescued.[3] Parts of the wreck can still be found in shallow water approximately 500 metres (1,600 ft) offshore south of the Southport Spit and it is a popular diving site.[4] Since 2013, sand movement has resulted in increasing amounts of the wreck becoming visible.[5]",
Swiftsure,United Kingdom,4 July 1829,A brig that was wrecked off the Cape York Peninsula.,
HMAS Warrnambool,Royal Australian Navy,13-Sep-47,A Bathurst-class corvette that hit a mine in the Great Barrier Reef.,14°45′32″S 145°49′41″E
HMAS Wyatt Earp,Royal Australian Navy,24-Jan-59,A motor vessel that was wrecked in a storm off Double Island Point.,
Yongala,Australia,23-Mar-11,A passenger ship that sank in a cyclone off Townsville.,19°18′27″S 147°37′31″E
USS YP-279,United States Navy,5-Sep-43,A patrol vessel that foundered off Townsville.,19°12′07″S 146°53′10″E
Aagot,Norway,11-Oct-07,A sailing ship that was wrecked on Wardang Island.,
Admella,South Australia,5 August 1859,"A passenger ship that ran onto a reef off the Carpenter Rocks, with 89 lives lost including 14 children.",37°52′47″S 140°21′3″E
Albatross,Unknown,13-Mar-13,"A ketch that struck Eclipse Reef, off Wardang Island, during a gale.[6]",
Clan Ranald,United Kingdom,31-Jan-09,"A two decked turret steam ship which capsized and sank in a storm, killing 40 of her crew of 64, near the town of Edithburgh.",
Edith Haviland,Unknown,19 June 1877,A brig that was wrecked on the Carpenter Rocks. One seaman drowned attempting to swim to shore.,
Eleni K,Unknown,Nov-66,A screw steamer deliberately sunk to make an artificial reef between Goat Island and St Peter Island.,
Ellen,South Australia,12-Dec-08,A freighter/trawler that was wrecked in Gulf St Vincent at Morgan's Beach.,35°35′46.5″S 138°06′07.6″E
Ethel,Unknown,2-Jan-04,"An iron barque which ran aground at Reef Head, near Cape Spencer[7]",35°17′55″S 136°53′31″E
Fanny,Unknown,22 June 1838,"A schooner that was blown ashore near Cape Jaffa, Kingston District Council.",
Ferret,South Australia,14-Nov-20,"A steamship that was fraudulently taken from its home in Scotland, and arrived in Victoria six months later. The conspirators were caught and charged, but the ship remained in Australia, eventually running aground off Cape Spencer in a storm.",
Frances,South Australia,29 August 1840,A cutter that was wrecked in the Neptune Islands.,35°33′00″S 136°12′00″E
Gloridia V,Unknown,12-Mar-77,A cray-fishing boat that was wrecked in the North Neptune Islands.,
Geltwood,United Kingdom,14 June 1876,A barque that struck a reef near the town of Southend.,37°37′36″S 140°10′51″E
Grecian,South Australia,13 October 1850,"A barque that sank in a gale off Port Adelaide, one man drowned.[8]",
Hougomont,Finland,8-Jan-33,A barque that was scuttled as a breakwater in Stenhouse Bay.,
Investigator,Unknown,24-Apr-17,A steamship that sank in rough weather southwest of Wardang Island.[6],
Koenig Wilhelm II,Unknown,30 June 1857,"A barque 800 tons that was wrecked off Robe, off with the loss of 16 crew after unloading 397 Chinese passengers for the Victorian goldfields.",
Lady Kinnaird,United Kingdom,21 January 1880,A barque that ran aground off Port Neill.,34°7′48″S 136°21′36″E
Loch Sloy,United Kingdom,24 April 1899,"A barque that was wrecked in the Brothers Rocks, off Kangaroo Island.",
Loch Vennachar,United Kingdom,5-Sep,A clipper that sank off Kangaroo Island with the loss of 27 lives.,35°53′05″S 136°32′00″E
Macintyre,Unknown,1-Apr-27,A schooner that was wrecked on a reef off Wardang Island.,
Maria,United Kingdom,28 June 1840,"A brigantine that was wrecked off Cape Jaffa, South Australia",
Marion,Unknown,11 July 1862,A screw steamer wrecked off Cable Hut Bay.[9],
No 5 dumb hopper barge,Australia,Apr-84,A hopper barge that was scuttled in Gulf St Vincent.,34°31′S 138°03′E
Notre Dame d'Avor,Unknown,20-Mar-20,A barque that ran aground on Wardang Island. The wreck was gutted by an accidental fire the following May.[6],
Postboy,Australia,1905,A schooner that was wrecked at Arno Bay.,33°55′12″S 136°34′12″E
Saint Michele,Unknown,30-Mar-65,A fishing boat that was wrecked on South Neptune Islands.,
Santiago,Australia,19-Aug-45,A 3 masted barque abandoned in the Garden Island Ships' Graveyard near Port Adelaide.,34°48′36″S 138°32′24″E
Songvaar,Norway,14-Apr-12,A Norwegian cargo ship that sank near Wardang Island when its hull was pierced by one of its own anchors. The wreck was eventually blown up as a shipping hazard.[6],
Star of Greece,Unknown,13 July 1888,A cargo ship that was wrecked in a storm off Port Willunga.,
South Australian,United Kingdom,8 December 1837,"A brig-sloop, formerly the former RN vessel (the Swallow (1824)),  was wrecked at Encounter Bay.",35°34.641′S 138°36.213′E
Tom Brennan,Australia,1960 or 1963,A barge abandoned on the Birdsville Track to the south of the Cooper Creek in Etadunna.,28°37′49″S 138°42′30″E
Varoon,Unknown,January 1856,A cargo ship that was wrecked twenty miles west of Cape Northumberland.,
Water Witch,South Australia,5 December 1842,"A cutter which sunk whilst moored in the River Murray at Moorundie, South Australia.",34°24′0″S 139°37′12″E
Willyama,Unknown,13-Apr-07,"A screw steamer wrecked south of Rhino Head, near Marion Bay.[10]","35°15'04.8""S 136°58'44.0""E"
Venus,Unknown,14-Jun-46,A cutter that was wrecked in the North Neptune Islands.,
Zanoni,United Kingdom,11 February 1867,A barque which foundered during a squall in Gulf St Vincent.,34°30′43.8″S 138°03′48.4″E
Actaeon,,28 October 1822,A ship that was wrecked in the D'Entrecasteaux Channel.,
Blythe Star,,13-Oct-73,A coastal freighter that capsized and sank off South West Cape. All the crew escaped the vessel but three lives were lost before the survivors were rescued.,
The Brothers,,25 June 1816,A schooner that was driven ashore near the Kent Group.,
Cataraqui,,4 August 1845,400 lost when wrecked on King Island.,40°1′37.7″S 143°52′49.6″E
Campbell Macquarie,,10 June 1812,A ship that was wrecked off Macquarie Island.,54°37′S 158°52′E
Daphne,,26 October 1818,A brig that was wrecked off East Island.,
Enchantress,,16 July 1835,A barque that struck the rocks about half a mile off the western shore of Bruny Island.[11],
George III,,12 March 1835,A convict ship that sank in the D'Entrecasteaux Channel.,43°31′S 146°59′E
Hebe,,15 June 1808,A ship that struck a reef off George Town.,41°03′42.92″S 146°45′18.90″E
Iron Baron,,10-Jul-95,"A bulk carrier that ran aground on a reef off George Town, causing an oil spill. It was refloated and scuttled off Flinders Island.",39°13′S 149°08′E
Lake Illawarra,,5-Jan-75,"Bulk carrier wrecked in the River Derwent, with 12 lives lost.",42°51′52″S 147°20′45″E
Nella Dan,,24-Dec-87,"An icebreaker that ran aground off Macquarie Island, and was subsequently scuttled.",
Netherby,,23 July 1866,A full-rigged ship that ran aground off King Island.,
Neva,,13 May 1835,"A convict ship that sank off King Island, with about 225 lives lost.",
Phatisalam,,9 July 1821,A ship that ran aground on Hunter Island.,
Sydney Cove,,9 February 1797,Sank at Preservation Island with no loss of life.,40°29′S 148°04′E
Alert,,28 December 1893,A steamship that sank off Cape Schanck.,38°31′34.23″S 144°52′29.35″E
Cambridge,,7-Nov-40,A steamship that hit a mine off Wilsons Promontory.,39°9′32″S 146°29′25″E
HMVS Cerberus,,2-Sep-26,A breastwork monitor that was scuttled as a breakwater in Half Moon Bay.,37°58′03″S 145°00′28″E
Cheviot,,19 October 1887,A steamship that was wrecked near Point Nepean.,38°18′51″S 144°39′51″E
City of Launceston,,19 November 1865,A steamship that collided with Penola at Port Phillip.,38°4′33″S 144°49′31″E
City of Rayville,,8-Nov-40,A steamship that hit a mine off Cape Otway.,38°58′44″S 143°30′27″E
Clonmel,,2 January 1841,"A paddle steamer that was wrecked at Clonmel Island, near the entrance to Corner Inlet.",38°44′44″S 146°40′37″E
Curlip,,3-Mar-19,"A paddle steamer that was washed out to sea in a flash flood, and stranded on a beach at Marlo.",
Earl of Charlemont,,18 June 1853,A passenger ship that ran aground off Barwon Heads.,38°18′33.43″S 144°29′28.59″E
Falls of Halladale,,14-Nov-08,A barque that ran onto the rocks near Peterborough.,38°36′30″S 142°51′26″E
HMAS Goorangai,Royal Australian Navy,20-Nov-40,A minesweeper that collided with Duntroon at Port Phillip.,38°17′34″S 144°40′57″E
HMVS Gordon,,14-Nov-14,A torpedo boat that was rammed and sunk at Port Phillip.,
Joseph H. Scammell,,7 May 1891,A full-rigged ship that ran aground on a reef off Torquay.,38°20′31″S 144°19′54″E
Kanowna,,19-Feb-29,"One of Victoria's largest shipwrecks, found in 2005 in Bass Strait.",39°18′36″S 146°07′48″E
Lady Mary Pelham,,31 August 1849,A brig that was beached at Port Fairy.,
Lightning,,31 October 1869,An extreme clipper that caught fire and was scuttled off Geelong.,38°8′24″S 144°22′7″E
Loch Ard,,1 June 1878,Struck Mutton Bird Island.,38°38′55″S 143°04′19″E
Petriana,,28-Nov-03,"An oil tanker that struck a reef off Point Nepean, releasing Australia's first major oil spill.",
Pioneer,,9-Mar-50,A dredger that was scuttled off Port Phillip.,
Saros,,23-Dec-37,Ran aground at Point Hicks.,37°48′13″S 149°16′31″E
